name,bus,carrier,type,p_set,q_set,sign,active
load_Z10,Z10,electricity,,0.0,0.0,-1.0,True
load_Z11,Z11,electricity,,0.0,0.0,-1.0,True
load_Z12,Z12,electricity,,0.0,0.0,-1.0,True
load_Z13,Z13,electricity,,0.0,0.0,-1.0,True
load_Z14,Z14,electricity,,0.0,0.0,-1.0,True
load_Z15,Z15,electricity,,0.0,0.0,-1.0,True
load_Z16,Z16,electricity,,0.0,0.0,-1.0,True
load_Z17,Z17,electricity,,0.0,0.0,-1.0,True
load_Z1_1,Z1_1,electricity,,0.0,0.0,-1.0,True
load_Z1_2,Z1_2,electricity,,0.0,0.0,-1.0,True
load_Z1_3,Z1_3,electricity,,0.0,0.0,-1.0,True
load_Z1_4,Z1_4,electricity,,0.0,0.0,-1.0,True
load_Z2,Z2,electricity,,0.0,0.0,-1.0,True
load_Z3,Z3,electricity,,0.0,0.0,-1.0,True
load_Z4,Z4,electricity,,0.0,0.0,-1.0,True
load_Z5,Z5,electricity,,0.0,0.0,-1.0,True
load_Z6,Z6,electricity,,0.0,0.0,-1.0,True
load_Z7,Z7,electricity,,0.0,0.0,-1.0,True
load_Z8,Z8,electricity,,0.0,0.0,-1.0,True
load_Z9,Z9,electricity,,0.0,0.0,-1.0,True
